製程代碼,製程名稱,機台群組代碼,機台群組名稱,機台代碼,機台名稱
L370-01,裁斷拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-02,穴拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-03,斷線拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-04,龜裂拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-05,整平打拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-06,折曲打拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L370-07,外形拔(形狀),M-N37A,穴拔(形狀)-模具課,N37A01,模具課 SBS 35噸打拔機-05
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L205-01,UV鐳射,M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AA,SBS UV 雷鑽機-10
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AC,SBS UV 雷鑽機-12
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AD,SBS UV 雷鑽機-13
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AE,SBS UV 雷鑽機-14
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AF,SBS UV 雷鑽機-15
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AG,SBS UV 雷鑽機-16
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AH,SBS UV 雷鑽機-17
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AI,SBS UV 雷鑽機-18
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AJ,SBS UV 雷鑽機-19
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AK,SBS UV 雷鑽機-20
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AL,SBS UV 雷鑽機-21
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AM,SBS UV 雷鑽機-22
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AN,SBS UV 雷鑽機-23
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AO,SBS UV 雷鑽機-24
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AP,SBS UV 雷鑽機-25
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AQ,SBS UV 雷鑽機-26
L205-01,UV鐳射,M-L205A,UV 鐳射,L205AR,SBS UV 雷鑽機-27
L205-03,雷射切割,M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L205-03,雷射切割,M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L205-03,雷射切割,M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L205-03,雷射切割,M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L205-03,雷射切割,M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L205-03,雷射切割,M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L205-03,雷射切割,M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L205-03,雷射切割,M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L205-03,雷射切割,M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
L205-03,雷射切割,M-L205A,UV 鐳射,L205AA,SBS UV 雷鑽機-10
L205-03,雷射切割,M-L205A,UV 鐳射,L205AC,SBS UV 雷鑽機-12
L205-03,雷射切割,M-L205A,UV 鐳射,L205AD,SBS UV 雷鑽機-13
L205-03,雷射切割,M-L205A,UV 鐳射,L205AE,SBS UV 雷鑽機-14
L205-03,雷射切割,M-L205A,UV 鐳射,L205AF,SBS UV 雷鑽機-15
L205-03,雷射切割,M-L205A,UV 鐳射,L205AG,SBS UV 雷鑽機-16
L205-03,雷射切割,M-L205A,UV 鐳射,L205AH,SBS UV 雷鑽機-17
L205-03,雷射切割,M-L205A,UV 鐳射,L205AI,SBS UV 雷鑽機-18
L205-03,雷射切割,M-L205A,UV 鐳射,L205AJ,SBS UV 雷鑽機-19
L205-03,雷射切割,M-L205A,UV 鐳射,L205AK,SBS UV 雷鑽機-20
L205-03,雷射切割,M-L205A,UV 鐳射,L205AL,SBS UV 雷鑽機-21
L205-03,雷射切割,M-L205A,UV 鐳射,L205AM,SBS UV 雷鑽機-22
L205-03,雷射切割,M-L205A,UV 鐳射,L205AN,SBS UV 雷鑽機-23
L205-03,雷射切割,M-L205A,UV 鐳射,L205AO,SBS UV 雷鑽機-24
L205-03,雷射切割,M-L205A,UV 鐳射,L205AP,SBS UV 雷鑽機-25
L205-03,雷射切割,M-L205A,UV 鐳射,L205AQ,SBS UV 雷鑽機-26
L205-03,雷射切割,M-L205A,UV 鐳射,L205AR,SBS UV 雷鑽機-27
L210-03,黑孔/黑影,M-L21A,黑孔,L21A08,SBS 黑影線-02-Ａ
L210-03,黑孔/黑影,M-L21A,黑孔,L21A09,SBS 黑影線-02-Ｂ
L210-03,黑孔/黑影,M-L21A,黑孔,L21A10,SBS 黑影線-03-Ａ
L210-03,黑孔/黑影,M-L21A,黑孔,L21A11,SBS 黑影線-03-Ｂ
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B03,SBS 硫酸銅線-01
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B04,SBS 硫酸銅線-02
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B05,SBS 硫酸銅線-03
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B06,SBS 硫酸銅線-04
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B07,SBS 硫酸銅線-05
L210-04,硫酸銅全面銅電鍍,M-L21B,硫酸銅,L21B08,SBS 硫酸銅線-06
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B03,SBS 硫酸銅線-01
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B04,SBS 硫酸銅線-02
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B05,SBS 硫酸銅線-03
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B06,SBS 硫酸銅線-04
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B07,SBS 硫酸銅線-05
L210-05,硫酸銅局部銅電鍍,M-L21B,硫酸銅,L21B08,SBS 硫酸銅線-06
L210-11,壓膜前處理,M-L27B,SBS LVI 前處理,L27B03,SBS LVI 前處理線-02-Ａ
L210-11,壓膜前處理,M-L27B,SBS LVI 前處理,L27B04,SBS LVI 前處理線-02-B
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D01,SBS 盲孔檢查機-01
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D02,SBS 盲孔檢查機-02
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D03,SBS 盲孔檢查機-03
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D04,SBS 盲孔檢查機-04
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D05,SBS 盲孔檢查機-05
L210-13,鐳射盲孔檢測,M-L21D,LVI  檢測,L21D06,SBS 盲孔檢查機-06
L210-13,鐳射盲孔檢測,M-L21E,LVI  檢修,L21E04,SBS 盲孔複檢機-01
L210-13,鐳射盲孔檢測,M-L21E,LVI  檢修,L21E05,SBS 盲孔複檢機-02
L210-13,鐳射盲孔檢測,M-L21P,雙面LVI 檢測,L21P01,SBS 雙面盲孔檢查機-01
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B01,RTR 盲孔檢查機-01
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B02,RTR 盲孔檢查機-02
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B03,RTR 盲孔檢查機-03
L210-13,鐳射盲孔檢測,M-R27B,RTR LVI 盲孔檢查機,R27B04,RTR 盲孔檢查機-04
L210-14,鐳射盲孔檢修,M-L21E,LVI  檢修,L21E06,SBS 盲孔複檢機-03
L210-32,鍍銅後水洗,M-L21J,鍍銅後水洗,L21J01,SBS 鍍銅後水洗線-01
L210-32,鍍銅後水洗,M-L21J,鍍銅後水洗,L21J02,SBS 鍍銅後水洗線-02-A
L210-32,鍍銅後水洗,M-L21J,鍍銅後水洗,L21J03,SBS 鍍銅後水洗線-02-B
L210-33,盲孔電鍍,M-L21B,硫酸銅,L21B08,SBS 硫酸銅線-06
L210-34,雙面雷射盲孔檢測,M-L21P,雙面LVI 檢測,L21P01,SBS 雙面盲孔檢查機-01
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A1,SBS UV 雷鑽機-01
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A2,SBS UV 雷鑽機-02
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A3,SBS UV 雷鑽機-03
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A4,SBS UV 雷鑽機-04
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A5,SBS UV 雷鑽機-05
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A6,SBS UV 雷鑽機-06
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A7,SBS UV 雷鑽機-07
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A8,SBS UV 雷鑽機-08
L370-09,鐳射(外型),M-L205A,UV 鐳射,L205A9,SBS UV 雷鑽機-09
